x,y,z,V
140.0000,50.0000,52.0000,0.05058442
140.0000,50.0000,54.5000,0.03975268
140.0000,50.0000,57.0000,0.02918025
140.0000,50.0000,59.5000,0.02476172
140.0000,50.0000,62.0000,0.02051348
140.0000,50.0000,64.5000,0.01871880
140.0000,50.0000,67.0000,0.01704179
140.0000,50.0000,69.5000,0.01640998
140.0000,50.0000,72.0000,0.01594437
140.0000,50.0000,74.5000,0.01582490
140.0000,50.0000,77.0000,0.01577180
140.0000,50.0000,79.5000,0.01580164
140.0000,50.0000,82.0000,0.01605453
140.0000,50.0000,84.5000,0.01648011
140.0000,50.0000,87.0000,0.01773257
140.0000,50.0000,89.5000,0.01913462
140.0000,50.0000,92.0000,0.02250760
140.0000,50.0000,94.5000,0.02602476
140.0000,50.0000,97.0000,0.03445414
140.0000,50.0000,99.5000,0.04325342
140.0000,50.0000,102.0000,0.06241532
140.0000,52.5000,52.0000,0.05129418
140.0000,52.5000,54.5000,0.03990327
140.0000,52.5000,57.0000,0.02879529
140.0000,52.5000,59.5000,0.02416648
140.0000,52.5000,62.0000,0.01975153
140.0000,52.5000,64.5000,0.01792380
140.0000,52.5000,67.0000,0.01630626
140.0000,52.5000,69.5000,0.01578754
140.0000,52.5000,72.0000,0.01555999
140.0000,52.5000,74.5000,0.01557303
140.0000,52.5000,77.0000,0.01555730
140.0000,52.5000,79.5000,0.01549008
140.0000,52.5000,82.0000,0.01550484
140.0000,52.5000,84.5000,0.01579081
140.0000,52.5000,87.0000,0.01693647
140.0000,52.5000,89.5000,0.01833957
140.0000,52.5000,92.0000,0.02182233
140.0000,52.5000,94.5000,0.02549729
140.0000,52.5000,97.0000,0.03434402
140.0000,52.5000,99.5000,0.04359160
140.0000,52.5000,102.0000,0.06374515
140.0000,55.0000,52.0000,0.05266437
140.0000,55.0000,54.5000,0.04057425
140.0000,55.0000,57.0000,0.02878987
140.0000,55.0000,59.5000,0.02389503
140.0000,55.0000,62.0000,0.01928271
140.0000,55.0000,64.5000,0.01744417
140.0000,55.0000,67.0000,0.01602133
140.0000,55.0000,69.5000,0.01580924
140.0000,55.0000,72.0000,0.01625145
140.0000,55.0000,74.5000,0.01664584
140.0000,55.0000,77.0000,0.01673782
140.0000,55.0000,79.5000,0.01639106
140.0000,55.0000,82.0000,0.01572800
140.0000,55.0000,84.5000,0.01563225
140.0000,55.0000,87.0000,0.01647750
140.0000,55.0000,89.5000,0.01783453
140.0000,55.0000,92.0000,0.02142960
140.0000,55.0000,94.5000,0.02529993
140.0000,55.0000,97.0000,0.03467113
140.0000,55.0000,99.5000,0.04447788
140.0000,55.0000,102.0000,0.06585561
140.0000,57.5000,52.0000,0.05361681
140.0000,57.5000,54.5000,0.04114453
140.0000,57.5000,57.0000,0.02898887
140.0000,57.5000,59.5000,0.02394924
140.0000,57.5000,62.0000,0.01923937
140.0000,57.5000,64.5000,0.01741489
140.0000,57.5000,67.0000,0.01617071
140.0000,57.5000,69.5000,0.01622311
140.0000,57.5000,72.0000,0.01725028
140.0000,57.5000,74.5000,0.01798126
140.0000,57.5000,77.0000,0.01816859
140.0000,57.5000,79.5000,0.01757487
140.0000,57.5000,82.0000,0.01631700
140.0000,57.5000,84.5000,0.01589133
140.0000,57.5000,87.0000,0.01647368
140.0000,57.5000,89.5000,0.01777611
140.0000,57.5000,92.0000,0.02141450
140.0000,57.5000,94.5000,0.02538798
140.0000,57.5000,97.0000,0.03504447
140.0000,57.5000,99.5000,0.04515527
140.0000,57.5000,102.0000,0.06719454
140.0000,60.0000,52.0000,0.05495263
140.0000,60.0000,54.5000,0.04201809
140.0000,60.0000,57.0000,0.02941221
140.0000,60.0000,59.5000,0.02419866
140.0000,60.0000,62.0000,0.01938111
140.0000,60.0000,64.5000,0.01759041
140.0000,60.0000,67.0000,0.01661082
140.0000,60.0000,69.5000,0.01703248
140.0000,60.0000,72.0000,0.01885079
140.0000,60.0000,74.5000,0.02003355
140.0000,60.0000,77.0000,0.02034894
140.0000,60.0000,79.5000,0.01942324
140.0000,60.0000,82.0000,0.01736475
140.0000,60.0000,84.5000,0.01648543
140.0000,60.0000,87.0000,0.01668977
140.0000,60.0000,89.5000,0.01790299
140.0000,60.0000,92.0000,0.02157674
140.0000,60.0000,94.5000,0.02567062
140.0000,60.0000,97.0000,0.03566959
140.0000,60.0000,99.5000,0.04614586
140.0000,60.0000,102.0000,0.06897694
140.0000,62.5000,52.0000,0.05573785
140.0000,62.5000,54.5000,0.04256008
140.0000,62.5000,57.0000,0.02971664
140.0000,62.5000,59.5000,0.02441175
140.0000,62.5000,62.0000,0.01954016
