x,y,z,V
50.0000,50.0000,130.0000,0.00549662
50.0000,50.0000,132.5000,0.00497289
50.0000,50.0000,135.0000,0.01377306
50.0000,50.0000,137.5000,0.02564308
50.0000,50.0000,140.0000,0.04257373
50.0000,50.0000,142.5000,0.05351873
50.0000,50.0000,145.0000,0.06975113
50.0000,50.0000,147.5000,0.08054961
50.0000,50.0000,150.0000,0.09680083
50.0000,50.0000,152.5000,0.10768741
50.0000,50.0000,155.0000,0.12407423
50.0000,50.0000,157.5000,0.13499519
50.0000,50.0000,160.0000,0.15124826
50.0000,50.0000,162.5000,0.16189459
50.0000,50.0000,165.0000,0.17734789
50.0000,50.0000,167.5000,0.18714016
50.0000,50.0000,170.0000,0.20073913
50.0000,50.0000,172.5000,0.20887626
50.0000,50.0000,175.0000,0.21934335
50.0000,50.0000,177.5000,0.22497599
50.0000,50.0000,180.0000,0.23113557
50.0000,50.0000,182.5000,0.23359304
50.0000,50.0000,185.0000,0.23466186
50.0000,50.0000,187.5000,0.23358473
50.0000,50.0000,190.0000,0.22927768
50.0000,50.0000,192.5000,0.22465192
50.0000,50.0000,195.0000,0.21523392
50.0000,50.0000,197.5000,0.20744532
50.0000,50.0000,200.0000,0.19384031
50.0000,50.0000,202.5000,0.18374145
50.0000,50.0000,205.0000,0.16754834
50.0000,50.0000,207.5000,0.15636532
50.0000,50.0000,210.0000,0.13952757
50.0000,50.0000,212.5000,0.12853311
50.0000,50.0000,215.0000,0.11277085
50.0000,50.0000,217.5000,0.10291347
50.0000,50.0000,220.0000,0.08928272
50.0000,50.0000,222.5000,0.08101592
50.0000,50.0000,225.0000,0.06985651
50.0000,50.0000,227.5000,0.06321748
50.0000,50.0000,230.0000,0.05437951
50.0000,50.0000,232.5000,0.04917626
50.0000,50.0000,235.0000,0.04229597
50.0000,50.0000,237.5000,0.03826175
50.0000,50.0000,240.0000,0.03293589
50.0000,50.0000,242.5000,0.02981373
50.0000,50.0000,245.0000,0.02568807
50.0000,50.0000,247.5000,0.02326577
50.0000,50.0000,250.0000,0.02006048
50.0000,50.0000,252.5000,0.01817727
50.0000,50.0000,255.0000,0.01568568
50.0000,50.0000,257.5000,0.01422276
50.0000,50.0000,260.0000,0.01228977
50.0000,50.0000,262.5000,0.01115705
50.0000,50.0000,265.0000,0.00966359
50.0000,50.0000,267.5000,0.00879017
50.0000,50.0000,270.0000,0.00764074
50.0000,50.0000,272.5000,0.00696976
50.0000,50.0000,275.0000,0.00608778
50.0000,50.0000,277.5000,0.00557298
50.0000,50.0000,280.0000,0.00489555
50.0000,50.0000,282.5000,0.00449928
50.0000,50.0000,285.0000,0.00397592
50.0000,50.0000,287.5000,0.00366818
50.0000,50.0000,290.0000,0.00325922
50.0000,50.0000,292.5000,0.00301715
50.0000,50.0000,295.0000,0.00269324
50.0000,50.0000,297.5000,0.00250013
50.0000,50.0000,300.0000,0.00223997
50.0000,50.0000,302.5000,0.00208390
50.0000,50.0000,305.0000,0.00187244
50.0000,50.0000,307.5000,0.00174488
50.0000,50.0000,310.0000,0.00157124
50.0000,50.0000,312.5000,0.00146606
50.0000,50.0000,315.0000,0.00132234
50.0000,50.0000,317.5000,0.00123499
50.0000,50.0000,320.0000,0.00111529
50.0000,50.0000,322.5000,0.00104235
50.0000,50.0000,325.0000,0.00094218
50.0000,50.0000,327.5000,0.00088101
50.0000,50.0000,330.0000,0.00079685
50.0000,50.0000,332.5000,0.00074538
50.0000,50.0000,335.0000,0.00067448
50.0000,50.0000,337.5000,0.00063106
50.0000,50.0000,340.0000,0.00057117
50.0000,50.0000,342.5000,0.00053447
50.0000,50.0000,345.0000,0.00048380
50.0000,50.0000,347.5000,0.00045271
50.0000,50.0000,350.0000,0.00040976
50.0000,50.0000,352.5000,0.00038339
50.0000,50.0000,355.0000,0.00034694
50.0000,50.0000,357.5000,0.00032454
50.0000,50.0000,360.0000,0.00029354
50.0000,50.0000,362.5000,0.00027449
50.0000,50.0000,365.0000,0.00024811
50.0000,50.0000,367.5000,0.00023188
50.0000,50.0000,370.0000,0.00020939
50.0000,50.0000,372.5000,0.00019555
50.0000,50.0000,375.0000,0.00017636
50.0000,50.0000,377.5000,0.00016454
50.0000,50.0000,380.0000,0.00014815
50.0000,50.0000,382.5000,0.00013805
50.0000,50.0000,385.0000,0.00012406
50.0000,50.0000,387.5000,0.00011544
50.0000,50.0000,390.0000,0.00010352
50.0000,50.0000,392.5000,0.00009619
50.0000,50.0000,395.0000,0.00008607
50.0000,50.0000,397.5000,0.00007987
50.0000,50.0000,400.0000,0.00007135
50.0000,50.0000,402.5000,0.00006615
50.0000,50.0000,405.0000,0.00005904
50.0000,52.5000,130.0000,0.00552436
50.0000,52.5000,132.5000,0.00508681
50.0000,52.5000,135.0000,0.01428276
50.0000,52.5000,137.5000,0.02667007
50.0000,52.5000,140.0000,0.04443745
50.0000,52.5000,142.5000,0.05598512
50.0000,52.5000,145.0000,0.07318430
50.0000,52.5000,147.5000,0.08466706
50.0000,52.5000,150.0000,0.10200617
50.0000,52.5000,152.5000,0.11366195
50.0000,52.5000,155.0000,0.13127344
50.0000,52.5000,157.5000,0.14305932
50.0000,52.5000,160.0000,0.16067861
50.0000,52.5000,162.5000,0.17227434
50.0000,52.5000,165.0000,0.18918584
50.0000,52.5000,167.5000,0.19995172
50.0000,52.5000,170.0000,0.21496500
50.0000,52.5000,172.5000,0.22398130
50.0000,52.5000,175.0000,0.23561348
