x,y,z
42.0,48.0,114.0
42.0,48.0,116.0
42.0,48.0,118.0
42.0,50.0,114.0
42.0,50.0,116.0
42.0,50.0,118.0
42.0,52.0,42.0
42.0,52.0,44.0
42.0,52.0,46.0
42.0,52.0,48.0
42.0,52.0,50.0
42.0,52.0,52.0
42.0,52.0,54.0
42.0,52.0,56.0
42.0,52.0,58.0
42.0,52.0,60.0
42.0,52.0,62.0
42.0,52.0,64.0
42.0,52.0,66.0
42.0,52.0,68.0
42.0,52.0,70.0
42.0,52.0,82.0
42.0,52.0,84.0
42.0,52.0,86.0
42.0,52.0,88.0
42.0,52.0,90.0
42.0,52.0,92.0
42.0,52.0,94.0
42.0,52.0,96.0
42.0,52.0,98.0
42.0,52.0,100.0
42.0,52.0,102.0
42.0,52.0,104.0
42.0,52.0,106.0
42.0,52.0,108.0
42.0,52.0,110.0
42.0,52.0,114.0
42.0,52.0,116.0
42.0,52.0,118.0
42.0,54.0,42.0
42.0,54.0,44.0
42.0,54.0,46.0
42.0,54.0,48.0
42.0,54.0,50.0
42.0,54.0,52.0
42.0,54.0,54.0
42.0,54.0,56.0
42.0,54.0,58.0
42.0,54.0,60.0
42.0,54.0,62.0
42.0,54.0,64.0
42.0,54.0,66.0
42.0,54.0,68.0
42.0,54.0,70.0
42.0,54.0,82.0
42.0,54.0,84.0
42.0,54.0,86.0
42.0,54.0,88.0
42.0,54.0,90.0
42.0,54.0,92.0
42.0,54.0,94.0
42.0,54.0,96.0
42.0,54.0,98.0
42.0,54.0,100.0
42.0,54.0,102.0
42.0,54.0,104.0
42.0,54.0,106.0
42.0,54.0,108.0
42.0,54.0,110.0
42.0,54.0,114.0
42.0,54.0,116.0
42.0,54.0,118.0
42.0,56.0,42.0
42.0,56.0,44.0
42.0,56.0,46.0
42.0,56.0,48.0
42.0,56.0,50.0
42.0,56.0,52.0
42.0,56.0,54.0
42.0,56.0,56.0
42.0,56.0,58.0
42.0,56.0,60.0
42.0,56.0,62.0
42.0,56.0,64.0
42.0,56.0,66.0
42.0,56.0,68.0
42.0,56.0,70.0
42.0,56.0,82.0
42.0,56.0,84.0
42.0,56.0,86.0
42.0,56.0,88.0
42.0,56.0,90.0
42.0,56.0,92.0
42.0,56.0,94.0
42.0,56.0,96.0
42.0,56.0,98.0
42.0,56.0,100.0
42.0,56.0,102.0
42.0,56.0,104.0
42.0,56.0,106.0
42.0,56.0,108.0
42.0,56.0,110.0
42.0,56.0,114.0
42.0,56.0,116.0
42.0,56.0,118.0
42.0,58.0,42.0
42.0,58.0,44.0
42.0,58.0,46.0
42.0,58.0,48.0
42.0,58.0,50.0
42.0,58.0,52.0
42.0,58.0,54.0
42.0,58.0,56.0
42.0,58.0,58.0
42.0,58.0,60.0
42.0,58.0,62.0
42.0,58.0,64.0
42.0,58.0,66.0
42.0,58.0,68.0
42.0,58.0,70.0
42.0,58.0,82.0
42.0,58.0,84.0
42.0,58.0,86.0
42.0,58.0,88.0
42.0,58.0,90.0
42.0,58.0,92.0
42.0,58.0,94.0
42.0,58.0,96.0
42.0,58.0,98.0
42.0,58.0,100.0
42.0,58.0,102.0
42.0,58.0,104.0
42.0,58.0,106.0
42.0,58.0,108.0
42.0,58.0,110.0
42.0,58.0,114.0
42.0,58.0,116.0
42.0,58.0,118.0
42.0,60.0,42.0
42.0,60.0,44.0
42.0,60.0,46.0
42.0,60.0,48.0
42.0,60.0,50.0
42.0,60.0,52.0
42.0,60.0,54.0
42.0,60.0,56.0
42.0,60.0,58.0
42.0,60.0,60.0
42.0,60.0,62.0
42.0,60.0,64.0
42.0,60.0,66.0
42.0,60.0,68.0
42.0,60.0,70.0
42.0,60.0,82.0
42.0,60.0,84.0
42.0,60.0,86.0
42.0,60.0,88.0
42.0,60.0,90.0
42.0,60.0,92.0
42.0,60.0,94.0
42.0,60.0,96.0
42.0,60.0,98.0
42.0,60.0,100.0
42.0,60.0,102.0
42.0,60.0,104.0
42.0,60.0,106.0
42.0,60.0,108.0
42.0,60.0,110.0
42.0,60.0,114.0
42.0,60.0,116.0
42.0,60.0,118.0
42.0,62.0,42.0
42.0,62.0,44.0
42.0,62.0,46.0
42.0,62.0,48.0
42.0,62.0,50.0
42.0,62.0,52.0
42.0,62.0,54.0
42.0,62.0,56.0
42.0,62.0,58.0
42.0,62.0,60.0
42.0,62.0,62.0
42.0,62.0,64.0
42.0,62.0,66.0
42.0,62.0,68.0
42.0,62.0,70.0
42.0,62.0,82.0
42.0,62.0,84.0
42.0,62.0,86.0
42.0,62.0,88.0
42.0,62.0,90.0
42.0,62.0,92.0
42.0,62.0,94.0
42.0,62.0,96.0
42.0,62.0,98.0
42.0,62.0,100.0
42.0,62.0,102.0
42.0,62.0,104.0
42.0,62.0,106.0
42.0,62.0,108.0
42.0,62.0,110.0
42.0,62.0,114.0
42.0,62.0,116.0
42.0,62.0,118.0
42.0,64.0,42.0
42.0,64.0,44.0
42.0,64.0,46.0
42.0,64.0,48.0
42.0,64.0,50.0
42.0,64.0,52.0
42.0,64.0,54.0
42.0,64.0,56.0
42.0,64.0,58.0
42.0,64.0,60.0
42.0,64.0,62.0
42.0,64.0,64.0
42.0,64.0,66.0
42.0,64.0,68.0
42.0,64.0,70.0
42.0,64.0,82.0
42.0,64.0,84.0
42.0,64.0,86.0
42.0,64.0,88.0
42.0,64.0,90.0
42.0,64.0,92.0
42.0,64.0,94.0
42.0,64.0,96.0
42.0,64.0,98.0
42.0,64.0,100.0
42.0,64.0,102.0
42.0,64.0,104.0
42.0,64.0,106.0
42.0,64.0,108.0
