x_mm,y_mm,z_mm
7.300000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,8.100000000000000000e+01,4.070000000000000000e+02
7.700000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.400000000000000000e+01,4.070000000000000000e+02
7.000000000000000000e+01,7.500000000000000000e+01,4.060000000000000000e+02
7.700000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
1.510000000000000000e+02,7.000000000000000000e+01,4.430000000000000000e+02
6.800000000000000000e+01,6.800000000000000000e+01,2.550000000000000000e+02
7.000000000000000000e+01,7.400000000000000000e+01,4.050000000000000000e+02
7.800000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
1.100000000000000000e+01,1.130000000000000000e+02,4.340000000000000000e+02
7.000000000000000000e+01,7.900000000000000000e+01,4.070000000000000000e+02
7.600000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
1.230000000000000000e+02,1.800000000000000000e+01,4.390000000000000000e+02
7.300000000000000000e+01,8.200000000000000000e+01,4.060000000000000000e+02
7.400000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.100000000000000000e+01,4.050000000000000000e+02
7.100000000000000000e+01,6.500000000000000000e+01,2.500000000000000000e+02
6.700000000000000000e+01,6.800000000000000000e+01,2.500000000000000000e+02
7.200000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.300000000000000000e+01,4.060000000000000000e+02
6.900000000000000000e+01,8.500000000000000000e+01,2.580000000000000000e+02
7.100000000000000000e+01,6.700000000000000000e+01,1.910000000000000000e+02
7.200000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,6.700000000000000000e+01,2.560000000000000000e+02
1.190000000000000000e+02,8.400000000000000000e+01,8.200000000000000000e+01
7.300000000000000000e+01,8.200000000000000000e+01,4.050000000000000000e+02
7.400000000000000000e+01,8.200000000000000000e+01,4.040000000000000000e+02
7.500000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
1.470000000000000000e+02,5.300000000000000000e+01,4.320000000000000000e+02
7.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,6.500000000000000000e+01,1.870000000000000000e+02
7.500000000000000000e+01,8.800000000000000000e+01,1.860000000000000000e+02
7.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
1.260000000000000000e+02,7.400000000000000000e+01,8.200000000000000000e+01
7.100000000000000000e+01,8.000000000000000000e+01,4.040000000000000000e+02
7.000000000000000000e+01,8.600000000000000000e+01,2.570000000000000000e+02
7.500000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,8.800000000000000000e+01,2.500000000000000000e+02
7.400000000000000000e+01,7.100000000000000000e+01,4.060000000000000000e+02
7.500000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.700000000000000000e+01,2.500000000000000000e+02
1.190000000000000000e+02,7.500000000000000000e+01,7.100000000000000000e+01
7.400000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,6.500000000000000000e+01,1.740000000000000000e+02
7.900000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,6.600000000000000000e+01,2.500000000000000000e+02
7.100000000000000000e+01,7.400000000000000000e+01,4.070000000000000000e+02
7.200000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.100000000000000000e+01,4.060000000000000000e+02
7.100000000000000000e+01,7.400000000000000000e+01,4.070000000000000000e+02
6.900000000000000000e+01,8.600000000000000000e+01,2.500000000000000000e+02
7.100000000000000000e+01,6.700000000000000000e+01,2.260000000000000000e+02
7.500000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.300000000000000000e+01,4.040000000000000000e+02
7.100000000000000000e+01,7.300000000000000000e+01,4.070000000000000000e+02
7.000000000000000000e+01,7.700000000000000000e+01,4.040000000000000000e+02
7.500000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.100000000000000000e+01,7.400000000000000000e+01,4.070000000000000000e+02
7.700000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
1.500000000000000000e+02,6.800000000000000000e+01,4.440000000000000000e+02
7.900000000000000000e+01,6.500000000000000000e+01,2.690000000000000000e+02
7.800000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.000000000000000000e+01,7.800000000000000000e+01,4.040000000000000000e+02
6.600000000000000000e+01,7.000000000000000000e+01,2.290000000000000000e+02
7.300000000000000000e+01,8.800000000000000000e+01,1.740000000000000000e+02
7.100000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
1.510000000000000000e+02,7.500000000000000000e+01,4.390000000000000000e+02
7.100000000000000000e+01,7.200000000000000000e+01,4.050000000000000000e+02
7.300000000000000000e+01,8.700000000000000000e+01,1.740000000000000000e+02
9.600000000000000000e+01,1.480000000000000000e+02,4.360000000000000000e+02
7.800000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.200000000000000000e+01,4.070000000000000000e+02
