x,y,z,V
50.0000,50.0000,130.0000,0.00000242
50.0000,50.0000,132.5000,0.00000188
50.0000,50.0000,135.0000,0.00000485
50.0000,50.0000,137.5000,0.00000901
50.0000,50.0000,140.0000,0.00001468
50.0000,50.0000,142.5000,0.00001806
50.0000,50.0000,145.0000,0.00002251
50.0000,50.0000,147.5000,0.00002506
50.0000,50.0000,150.0000,0.00002824
50.0000,50.0000,152.5000,0.00002992
50.0000,50.0000,155.0000,0.00003181
50.0000,50.0000,157.5000,0.00003264
50.0000,50.0000,160.0000,0.00003329
50.0000,50.0000,162.5000,0.00003335
50.0000,50.0000,165.0000,0.00003295
50.0000,50.0000,167.5000,0.00003240
50.0000,50.0000,170.0000,0.00003122
50.0000,50.0000,172.5000,0.00003025
50.0000,50.0000,175.0000,0.00002860
50.0000,50.0000,177.5000,0.00002741
50.0000,50.0000,180.0000,0.00002558
50.0000,50.0000,182.5000,0.00002434
50.0000,50.0000,185.0000,0.00002251
50.0000,50.0000,187.5000,0.00002133
50.0000,50.0000,190.0000,0.00001962
50.0000,50.0000,192.5000,0.00001853
50.0000,50.0000,195.0000,0.00001698
50.0000,50.0000,197.5000,0.00001600
50.0000,50.0000,200.0000,0.00001462
50.0000,50.0000,202.5000,0.00001374
50.0000,50.0000,205.0000,0.00001251
50.0000,50.0000,207.5000,0.00001173
50.0000,50.0000,210.0000,0.00001064
50.0000,50.0000,212.5000,0.00000995
50.0000,50.0000,215.0000,0.00000898
50.0000,50.0000,217.5000,0.00000838
50.0000,50.0000,220.0000,0.00000754
50.0000,50.0000,222.5000,0.00000702
50.0000,50.0000,225.0000,0.00000630
50.0000,50.0000,227.5000,0.00000586
50.0000,50.0000,230.0000,0.00000525
50.0000,50.0000,232.5000,0.00000488
50.0000,50.0000,235.0000,0.00000437
50.0000,50.0000,237.5000,0.00000405
50.0000,50.0000,240.0000,0.00000362
50.0000,50.0000,242.5000,0.00000336
50.0000,50.0000,245.0000,0.00000300
50.0000,50.0000,247.5000,0.00000278
50.0000,50.0000,250.0000,0.00000247
50.0000,50.0000,252.5000,0.00000229
50.0000,50.0000,255.0000,0.00000204
50.0000,50.0000,257.5000,0.00000188
50.0000,50.0000,260.0000,0.00000168
50.0000,50.0000,262.5000,0.00000155
50.0000,50.0000,265.0000,0.00000138
50.0000,50.0000,267.5000,0.00000128
50.0000,50.0000,270.0000,0.00000115
50.0000,50.0000,272.5000,0.00000107
50.0000,50.0000,275.0000,0.00000096
50.0000,50.0000,277.5000,0.00000090
50.0000,50.0000,280.0000,0.00000081
50.0000,50.0000,282.5000,0.00000076
50.0000,50.0000,285.0000,0.00000069
50.0000,50.0000,287.5000,0.00000065
50.0000,50.0000,290.0000,0.00000060
50.0000,50.0000,292.5000,0.00000056
50.0000,50.0000,295.0000,0.00000052
50.0000,50.0000,297.5000,0.00000049
50.0000,50.0000,300.0000,0.00000045
50.0000,50.0000,302.5000,0.00000042
50.0000,50.0000,305.0000,0.00000039
50.0000,50.0000,307.5000,0.00000037
50.0000,50.0000,310.0000,0.00000034
50.0000,50.0000,312.5000,0.00000032
50.0000,50.0000,315.0000,0.00000030
50.0000,50.0000,317.5000,0.00000028
50.0000,50.0000,320.0000,0.00000026
50.0000,50.0000,322.5000,0.00000025
50.0000,50.0000,325.0000,0.00000023
50.0000,50.0000,327.5000,0.00000021
50.0000,50.0000,330.0000,0.00000020
50.0000,50.0000,332.5000,0.00000019
50.0000,50.0000,335.0000,0.00000017
50.0000,50.0000,337.5000,0.00000016
50.0000,50.0000,340.0000,0.00000015
50.0000,50.0000,342.5000,0.00000014
50.0000,50.0000,345.0000,0.00000013
50.0000,50.0000,347.5000,0.00000012
50.0000,50.0000,350.0000,0.00000011
50.0000,50.0000,352.5000,0.00000010
50.0000,50.0000,355.0000,0.00000010
50.0000,50.0000,357.5000,0.00000009
50.0000,50.0000,360.0000,0.00000008
50.0000,50.0000,362.5000,0.00000008
50.0000,50.0000,365.0000,0.00000007
50.0000,50.0000,367.5000,0.00000007
50.0000,50.0000,370.0000,0.00000006
50.0000,50.0000,372.5000,0.00000006
50.0000,50.0000,375.0000,0.00000005
50.0000,50.0000,377.5000,0.00000005
50.0000,50.0000,380.0000,0.00000004
50.0000,50.0000,382.5000,0.00000004
50.0000,50.0000,385.0000,0.00000004
50.0000,50.0000,387.5000,0.00000003
50.0000,50.0000,390.0000,0.00000003
50.0000,50.0000,392.5000,0.00000003
50.0000,50.0000,395.0000,0.00000003
50.0000,50.0000,397.5000,0.00000002
50.0000,50.0000,400.0000,0.00000002
50.0000,50.0000,402.5000,0.00000002
50.0000,50.0000,405.0000,0.00000002
50.0000,52.5000,130.0000,0.00000210
50.0000,52.5000,132.5000,0.00000174
50.0000,52.5000,135.0000,0.00000470
50.0000,52.5000,137.5000,0.00000881
50.0000,52.5000,140.0000,0.00001447
50.0000,52.5000,142.5000,0.00001788
50.0000,52.5000,145.0000,0.00002240
50.0000,52.5000,147.5000,0.00002500
50.0000,52.5000,150.0000,0.00002825
50.0000,52.5000,152.5000,0.00002997
50.0000,52.5000,155.0000,0.00003188
50.0000,52.5000,157.5000,0.00003271
50.0000,52.5000,160.0000,0.00003333
50.0000,52.5000,162.5000,0.00003336
50.0000,52.5000,165.0000,0.00003288
50.0000,52.5000,167.5000,0.00003226
50.0000,52.5000,170.0000,0.00003098
50.0000,52.5000,172.5000,0.00002995
50.0000,52.5000,175.0000,0.00002821
50.0000,52.5000,177.5000,0.00002697
50.0000,52.5000,180.0000,0.00002508
50.0000,52.5000,182.5000,0.00002382
50.0000,52.5000,185.0000,0.00002197
50.0000,52.5000,187.5000,0.00002078
50.0000,52.5000,190.0000,0.00001908
50.0000,52.5000,192.5000,0.00001800
50.0000,52.5000,195.0000,0.00001648
50.0000,52.5000,197.5000,0.00001552
50.0000,52.5000,200.0000,0.00001417
50.0000,52.5000,202.5000,0.00001333
50.0000,52.5000,205.0000,0.00001213
50.0000,52.5000,207.5000,0.00001138
50.0000,52.5000,210.0000,0.00001031
50.0000,52.5000,212.5000,0.00000964
50.0000,52.5000,215.0000,0.00000871
50.0000,52.5000,217.5000,0.00000812
50.0000,52.5000,220.0000,0.00000731
50.0000,52.5000,222.5000,0.00000681
50.0000,52.5000,225.0000,0.00000611
50.0000,52.5000,227.5000,0.00000568
50.0000,52.5000,230.0000,0.00000509
50.0000,52.5000,232.5000,0.00000473
50.0000,52.5000,235.0000,0.00000424
50.0000,52.5000,237.5000,0.00000393
50.0000,52.5000,240.0000,0.00000352
50.0000,52.5000,242.5000,0.00000326
50.0000,52.5000,245.0000,0.00000291
50.0000,52.5000,247.5000,0.00000270
50.0000,52.5000,250.0000,0.00000241
50.0000,52.5000,252.5000,0.00000223
50.0000,52.5000,255.0000,0.00000198
50.0000,52.5000,257.5000,0.00000183
50.0000,52.5000,260.0000,0.00000163
50.0000,52.5000,262.5000,0.00000151
50.0000,52.5000,265.0000,0.00000135
50.0000,52.5000,267.5000,0.00000125
50.0000,52.5000,270.0000,0.00000112
50.0000,52.5000,272.5000,0.00000104
50.0000,52.5000,275.0000,0.00000094
50.0000,52.5000,277.5000,0.00000088
50.0000,52.5000,280.0000,0.00000080
50.0000,52.5000,282.5000,0.00000075
50.0000,52.5000,285.0000,0.00000069
50.0000,52.5000,287.5000,0.00000065
50.0000,52.5000,290.0000,0.00000059
50.0000,52.5000,292.5000,0.00000056
50.0000,52.5000,295.0000,0.00000052
50.0000,52.5000,297.5000,0.00000049
50.0000,52.5000,300.0000,0.00000045
50.0000,52.5000,302.5000,0.00000043
50.0000,52.5000,305.0000,0.00000040
50.0000,52.5000,307.5000,0.00000038
50.0000,52.5000,310.0000,0.00000035
50.0000,52.5000,312.5000,0.00000033
50.0000,52.5000,315.0000,0.00000030
50.0000,52.5000,317.5000,0.00000029
50.0000,52.5000,320.0000,0.00000027
50.0000,52.5000,322.5000,0.00000025
50.0000,52.5000,325.0000,0.00000023
50.0000,52.5000,327.5000,0.00000022
50.0000,52.5000,330.0000,0.00000020
50.0000,52.5000,332.5000,0.00000019
50.0000,52.5000,335.0000,0.00000018
50.0000,52.5000,337.5000,0.00000017
50.0000,52.5000,340.0000,0.00000015
50.0000,52.5000,342.5000,0.00000014
50.0000,52.5000,345.0000,0.00000013
50.0000,52.5000,347.5000,0.00000012
50.0000,52.5000,350.0000,0.00000011
50.0000,52.5000,352.5000,0.00000011
50.0000,52.5000,355.0000,0.00000010
50.0000,52.5000,357.5000,0.00000009
50.0000,52.5000,360.0000,0.00000008
50.0000,52.5000,362.5000,0.00000008
50.0000,52.5000,365.0000,0.00000007
50.0000,52.5000,367.5000,0.00000007
50.0000,52.5000,370.0000,0.00000006
50.0000,52.5000,372.5000,0.00000006
50.0000,52.5000,375.0000,0.00000005
50.0000,52.5000,377.5000,0.00000005
50.0000,52.5000,380.0000,0.00000004
50.0000,52.5000,382.5000,0.00000004
50.0000,52.5000,385.0000,0.00000004
50.0000,52.5000,387.5000,0.00000004
50.0000,52.5000,390.0000,0.00000003
50.0000,52.5000,392.5000,0.00000003
50.0000,52.5000,395.0000,0.00000003
50.0000,52.5000,397.5000,0.00000002
50.0000,52.5000,400.0000,0.00000002
50.0000,52.5000,402.5000,0.00000002
50.0000,52.5000,405.0000,0.00000002
50.0000,55.0000,130.0000,0.00000181
50.0000,55.0000,132.5000,0.00000160
50.0000,55.0000,135.0000,0.00000457
50.0000,55.0000,137.5000,0.00000863
50.0000,55.0000,140.0000,0.00001427
50.0000,55.0000,142.5000,0.00001770
50.0000,55.0000,145.0000,0.00002229
50.0000,55.0000,147.5000,0.00002493
50.0000,55.0000,150.0000,0.00002824
50.0000,55.0000,152.5000,0.00002998
50.0000,55.0000,155.0000,0.00003188
50.0000,55.0000,157.5000,0.00003269
50.0000,55.0000,160.0000,0.00003324
50.0000,55.0000,162.5000,0.00003319
50.0000,55.0000,165.0000,0.00003257
50.0000,55.0000,167.5000,0.00003185
50.0000,55.0000,170.0000,0.00003040
50.0000,55.0000,172.5000,0.00002926
50.0000,55.0000,175.0000,0.00002737
50.0000,55.0000,177.5000,0.00002606
50.0000,55.0000,180.0000,0.00002408
50.0000,55.0000,182.5000,0.00002278
50.0000,55.0000,185.0000,0.00002091
50.0000,55.0000,187.5000,0.00001973
50.0000,55.0000,190.0000,0.00001806
50.0000,55.0000,192.5000,0.00001702
50.0000,55.0000,195.0000,0.00001556
50.0000,55.0000,197.5000,0.00001465
50.0000,55.0000,200.0000,0.00001337
50.0000,55.0000,202.5000,0.00001257
50.0000,55.0000,205.0000,0.00001144
50.0000,55.0000,207.5000,0.00001073
50.0000,55.0000,210.0000,0.00000973
50.0000,55.0000,212.5000,0.00000910
50.0000,55.0000,215.0000,0.00000821
50.0000,55.0000,217.5000,0.00000766
50.0000,55.0000,220.0000,0.00000689
50.0000,55.0000,222.5000,0.00000642
50.0000,55.0000,225.0000,0.00000576
50.0000,55.0000,227.5000,0.00000536
50.0000,55.0000,230.0000,0.00000480
50.0000,55.0000,232.5000,0.00000446
50.0000,55.0000,235.0000,0.00000400
50.0000,55.0000,237.5000,0.00000372
50.0000,55.0000,240.0000,0.00000333
50.0000,55.0000,242.5000,0.00000309
50.0000,55.0000,245.0000,0.00000276
50.0000,55.0000,247.5000,0.00000256
50.0000,55.0000,250.0000,0.00000229
50.0000,55.0000,252.5000,0.00000212
50.0000,55.0000,255.0000,0.00000189
50.0000,55.0000,257.5000,0.00000175
50.0000,55.0000,260.0000,0.00000155
50.0000,55.0000,262.5000,0.00000144
50.0000,55.0000,265.0000,0.00000129
50.0000,55.0000,267.5000,0.00000120
50.0000,55.0000,270.0000,0.00000107
50.0000,55.0000,272.5000,0.00000100
50.0000,55.0000,275.0000,0.00000091
50.0000,55.0000,277.5000,0.00000085
