number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,state
0,-1.0,2026-06-29 17:11:06.443043,2026-06-29 17:11:06.946043,0 days 00:00:00.503000,778.3668159142412,331.7402328854762,-352.0508451447075,376.2205810708281,-123.32902778713174,-895.9211637475481,689.8155502005525,-33.29568714790548,COMPLETE
1,-1.0,2026-06-29 17:11:06.969803,2026-06-29 17:11:07.092270,0 days 00:00:00.122467,-651.8586933416027,405.2126478774262,820.1833589704477,-354.8788484701266,-788.0140882082152,246.9097364541267,-727.5139076886389,-440.0299676952237,COMPLETE
2,-1.0,2026-06-29 17:11:07.107205,2026-06-29 17:11:07.223692,0 days 00:00:00.116487,161.20007891784394,-518.1914589740456,-8.350839094814773,988.3577851318262,-570.3051963043902,-826.359402717727,-332.2609714802762,-296.82203227873913,COMPLETE
3,-1.0,2026-06-29 17:11:07.239146,2026-06-29 17:11:07.367595,0 days 00:00:00.128449,776.5570563623853,125.44957000547515,238.39654604687576,789.7928566335688,564.3192002698393,297.08943586513124,-550.4147845582299,-151.49501314972952,COMPLETE
4,-1.0,2026-06-29 17:11:07.382556,2026-06-29 17:11:07.501616,0 days 00:00:00.119060,-818.7881336536278,-785.4559827696619,-333.0796138461791,-356.7874951153851,137.66758985355796,174.21711209817727,-741.835844024104,-453.8788342590609,COMPLETE
5,-1.0,2026-06-29 17:11:07.516441,2026-06-29 17:11:07.645729,0 days 00:00:00.129288,-237.81388512328476,-497.76400033272773,760.5741191860325,709.3696878129881,-548.7180723067868,-846.8099678294399,-44.1997392097835,677.317011235589,COMPLETE
6,-1.0,2026-06-29 17:11:07.660689,2026-06-29 17:11:07.778495,0 days 00:00:00.117806,-85.30186828309684,317.89769945441253,429.84741814769586,329.04253334790224,667.4911102785436,272.19973443564163,950.8244441190261,466.95992531696766,COMPLETE
7,-1.0,2026-06-29 17:11:07.795562,2026-06-29 17:11:07.918734,0 days 00:00:00.123172,365.22531631954416,647.0818980654496,506.37153878037,56.76017257914896,471.0335173434228,47.863662841931045,-818.0835039170229,815.7986283658461,COMPLETE
8,-1.0,2026-06-29 17:11:07.936828,2026-06-29 17:11:08.056067,0 days 00:00:00.119239,-293.3622194834304,348.4749331289745,781.9216024989196,-944.366930912909,-123.68081949534007,-697.9057719478387,529.7849542173924,-120.06996829715797,COMPLETE
9,-1.0,2026-06-29 17:11:08.070978,2026-06-29 17:11:08.189261,0 days 00:00:00.118283,902.6434898221796,-216.4313602206081,-528.8763403685632,363.68520143004093,-889.4017756435621,-282.31870489793255,42.84301245231609,21.443279912038065,COMPLETE
10,-1.0,2026-06-29 17:11:08.205107,2026-06-29 17:11:08.345156,0 days 00:00:00.140049,587.2268632658081,951.437391986061,-956.4286202083924,-873.8432737682017,-54.314804670876995,900.3916275482783,899.9625987872815,-998.2536273281917,COMPLETE
11,-1.0,2026-06-29 17:11:08.364111,2026-06-29 17:11:08.498168,0 days 00:00:00.134057,-944.8506636028487,4.849997445676727,-938.7635017529045,-252.23736587652223,-994.6930575057094,877.8524893260079,339.3957091351815,-666.694723764693,COMPLETE
12,-1.0,2026-06-29 17:11:08.514126,2026-06-29 17:11:08.698765,0 days 00:00:00.184639,-595.243466374261,669.4774957073785,955.1634841870588,-498.2455631022558,-392.53921857549403,-256.074882787425,483.1024263669615,359.8678995004518,COMPLETE
13,-1.0,2026-06-29 17:11:08.718955,2026-06-29 17:11:08.845166,0 days 00:00:00.126211,-525.092367336302,547.4819330530369,-126.2426810741211,-17.896383699489206,257.2298518744671,589.781574439886,-991.7409351645133,169.607031091196,COMPLETE
14,-1.0,2026-06-29 17:11:08.860855,2026-06-29 17:11:08.985555,0 days 00:00:00.124700,129.94106579852416,986.5616531689478,-629.8146461484191,-618.6062245079821,957.4533132493907,-469.5194236409112,-186.73289306597204,-553.3425924954719,COMPLETE
15,-1.0,2026-06-29 17:11:08.999722,2026-06-29 17:11:09.132723,0 days 00:00:00.133001,499.55641764589404,-88.4916684454729,57.16882333050887,393.8916859394616,-290.7378722834191,-987.6081756398908,233.45344329844684,-951.5546059899788,COMPLETE
16,-1.0,2026-06-29 17:11:09.148715,2026-06-29 17:11:09.279946,0 days 00:00:00.131231,972.2089894130186,343.81187223343295,348.70601555536683,-13.843923278431589,-735.3254710653688,533.0231101629715,725.7158287009394,-748.0168234935488,COMPLETE
17,-1.0,2026-06-29 17:11:09.295523,2026-06-29 17:11:09.430480,0 days 00:00:00.134957,-571.4346038970556,184.84454746649118,-663.7325009513519,-182.73078133504544,-702.7942608724805,-527.7989846382086,-393.2289134554306,-349.06339556023795,COMPLETE
18,-1.0,2026-06-29 17:11:09.446438,2026-06-29 17:11:09.575922,0 days 00:00:00.129484,170.00105796924606,-255.32710960584745,-280.1997673084095,193.38189911273275,-106.4548299651384,-82.12866332931219,127.80636214758704,305.5606700057044,COMPLETE
19,-1.0,2026-06-29 17:11:09.589914,2026-06-29 17:11:09.720457,0 days 00:00:00.130543,-75.89548944412661,491.43275422865804,999.1782621863996,545.793985257965,-376.7735971262463,513.6436559326851,614.4727833481513,50.68801719007097,COMPLETE
20,-1.0,2026-06-29 17:11:09.736783,2026-06-29 17:11:09.868164,0 days 00:00:00.131381,684.6904655326689,813.110353178959,618.3208936679302,-714.103811283699,183.44948262292922,-190.37524501936048,-665.7507907285074,-196.23877858703406,COMPLETE
21,-1.0,2026-06-29 17:11:09.885154,2026-06-29 17:11:10.014700,0 days 00:00:00.129546,306.90931692470826,-758.8847392538764,149.54233285242674,979.8705425827676,-585.4267832421253,-703.860493973839,-268.90120826828615,-324.1474309454085,COMPLETE
22,-1.0,2026-06-29 17:11:10.031623,2026-06-29 17:11:10.164345,0 days 00:00:00.132722,-374.29810436944524,-929.6864073878597,-58.95570796585795,973.1283950430319,-802.7117111630686,-520.0494045623068,-449.92652305221134,-323.4607706267244,COMPLETE
23,-1.0,2026-06-29 17:11:10.179206,2026-06-29 17:11:10.306071,0 days 00:00:00.126865,115.32511008222855,-458.4345324631016,-385.98148083989327,648.6147780717642,-554.4523618619562,-814.1536601742192,-963.0517732881036,-755.4578710776525,COMPLETE
24,-1.0,2026-06-29 17:11:10.322389,2026-06-29 17:11:10.460231,0 days 00:00:00.137842,-777.0032543420397,-510.41390760918284,-47.94825118803285,575.6990560433663,-241.4337360282155,-993.0035742000259,-132.1939502031048,-57.867774944651075,COMPLETE
25,-1.0,2026-06-29 17:11:10.477184,2026-06-29 17:11:10.610597,0 days 00:00:00.133413,-98.43805695409685,115.56622576649556,-210.96630906700062,805.4083347414434,-484.6792820686135,-409.9437533197829,-538.273416790804,-523.7555526267222,COMPLETE
26,-1.0,2026-06-29 17:11:10.627117,2026-06-29 17:11:10.761573,0 days 00:00:00.134456,444.8544187994971,-312.59819660552716,-727.9677045946933,161.04530795682462,-951.6964641244082,-649.9269428541076,-285.544093617468,155.85325387986083,COMPLETE
27,-1.0,2026-06-29 17:11:10.778074,2026-06-29 17:11:10.903221,0 days 00:00:00.125147,811.0900123966676,-33.46253345621517,-453.0930218814263,469.78984838704287,9.961367088893143,752.18858754385,-666.2220736870738,-245.3700091875029,COMPLETE
28,-1.0,2026-06-29 17:11:10.918216,2026-06-29 17:11:11.045921,0 days 00:00:00.127705,645.2406172301003,773.4125045337073,181.00672342562927,-172.17205382270254,-675.7872712449853,-872.2896541539798,353.15504416681193,-420.01694991367697,COMPLETE
29,-1.0,2026-06-29 17:11:11.061240,2026-06-29 17:11:11.189651,0 days 00:00:00.128411,248.38024628656865,184.4376458383392,61.39039249221901,769.8768076286727,-250.19028453269533,406.6920918184899,762.4966761945342,-621.4967543592197,COMPLETE
30,-1.0,2026-06-29 17:11:11.204612,2026-06-29 17:11:11.334982,0 days 00:00:00.130370,20.70772954390634,483.65326469059676,-804.2910133701007,879.7942516857204,-845.6416855437609,4.158332454461629,-557.8417854796744,995.3958756565321,COMPLETE
31,-1.0,2026-06-29 17:11:11.350513,2026-06-29 17:11:11.489945,0 days 00:00:00.139432,799.3990700064955,-798.6096356237811,265.1555447265685,870.3319056535499,567.6828185962198,167.0317265495977,-805.9015614597361,-165.27201264486203,COMPLETE
32,-1.0,2026-06-29 17:11:11.507897,2026-06-29 17:11:11.642529,0 days 00:00:00.134632,756.098928408632,277.4118028754426,634.2335114830383,713.6523549798762,389.45107606672616,118.23022968124056,-855.1033337596291,-461.83847539408765,COMPLETE
33,-1.0,2026-06-29 17:11:11.658048,2026-06-29 17:11:11.784834,0 days 00:00:00.126786,531.091356158688,-642.3514144052346,-216.1434689679071,-471.8821488841079,865.9608845179118,264.3304345794314,-644.6736355892518,43.11574990777812,COMPLETE
34,-1.0,2026-06-29 17:11:11.801130,2026-06-29 17:11:11.931243,0 days 00:00:00.130113,997.9604345894038,57.0880310190322,422.41225337064526,241.09206950662133,672.0891520031911,287.9447048578498,-359.2265516480975,-81.70827719525268,COMPLETE
