config                 supera doblez llega plano  hits
base (mejor)                   70/500          41     2
V3 -300                       183/500         183     0
V3 -200                       150/500         145    13
V3 -100                       121/500          94     4
V3 +100                        78/500          46     4
V3 +200                        56/500          29     1
V3 +300                        51/500          30     2
cuadrupolo x0.70              232/500         146    22
cuadrupolo x0.85              176/500         107     4
cuadrupolo x1.15                0/500           0     0
cuadrupolo x1.30                0/500           0     0
V6 +15 (steer_scan)            85/500          53     5
